Date,Presenter,Paper,Why should we care,Appear in,Repo,Blogs
28/01/2026,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),"Welcome to our 2026 session. Introducing Celeste Cardinales, our group’s new research support, and Tien. Celebrating the successes of 2025 and kicking off 2026.",,,,
4/02/2026,[Lin Tian](../authors/lin-tian/),[Estimating Online Influence Needs Causal Modeling: Counterfactual Analysis of Misinformation Engagement on Social Media](https://arxiv.org/pdf/2505.19355),,[AAAI'26](https://aaai.org/conference/aaai/aaai-26/),,
11/02/2026,[Huixiang (Freda) Fu](../authors/huixiang-fu/),[LLMs+Persona-Plug = Personalized LLMs](https://aclanthology.org/2025.acl-long.461.pdf),,[ACL'25](https://2025.aclweb.org),,
18/02/2026,[Andrew Savchenko](../authors/andrew-savchenko/),CA1 mock presentation (simulated talk),,,,
25/02/2026,[Jooyoung Lee](../authors/jooyoung-lee/),[How does Misinformation Affect Large Language Model Behaviors and Preferences?](https://arxiv.org/pdf/2505.21608),,[ACL'25](https://2025.aclweb.org),,
4/03/2026,[Emily Booth](../authors/emily-booth/),[Picturing Opaque Power: How Conspiracy Theorists Construct Oppositional Videos on YouTube](https://journals.sagepub.com/doi/10.1177/20563051221089568),,[Social Media + Society](https://journals.sagepub.com/home/SMS),,
11/03/2026,Artur Grigorev,[Agentic Programming (presentation)](https://docs.google.com/presentation/d/170uvsoYp4oEEjkw8-GpLO22vwLd_ymKo/edit?slide=id.p1#slide=id.p1),,Internal presentation,,
18/03/2026,[Tien An Vu](../authors/tienan-vu/),[From Human Memory to AI Memory: A Survey on Memory Mechanisms in the Era of LLMs](https://arxiv.org/pdf/2504.15965),,arXiv,,
25/03/2026,[Natalie Michael](../authors/natalie-michael/),[Bridging Nations: Quantifying the Role of Multilinguals in Communication on Social Media](https://arxiv.org/pdf/2304.03797),,[ICWSM'23](https://www.icwsm.org/2023/index.html/),,
1/04/2026,[Majid Akhtar](../authors/majid-akhtar/),[Out of Style: RAG's Fragility to Linguistic Variation](https://aclanthology.org/2026.eacl-long.13/),,"[EACL, 2026](https://2026.eacl.org/)",,
8/04/2026,,Easter break,,,,
15/04/2026,[Kevin Zheng](../authors/kevin-zheng/),[Emotion Concepts and their Function in a Large Language Model](https://transformer-circuits.pub/2026/emotions/index.html),,,,
22/04/2026,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),Using agentic LLMs in daily work,,,,
29/04/2026,[Lin Tian](../authors/lin-tian/),[Titans: Learning to Memorize at Test Time](https://arxiv.org/pdf/2501.00663),,[NeurIPS 2025](https://neurips.cc/Conferences/2025),,
6/05/2026,Everyone,Research spotlight,,,,
13/05/2026,[Huixiang (Freda) Fu](../authors/huixiang-fu/),,,,,
20/05/2026,[Andrew Savchenko](../authors/andrew-savchenko/),,,,,
27/05/2026,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
3/06/2026,[Emily Booth](../authors/emily-booth/),,,,,
10/06/2026,Artur Grigorev,,,,,
17/06/2026,[Tien An Vu](../authors/tienan-vu/),,,,,
24/06/2026,[Natalie Michael](../authors/natalie-michael/),,,,,
1/07/2026,[Majid Akhtar](../authors/majid-akhtar/),,,,,
8/07/2026,[Kevin Zheng](../authors/kevin-zheng/),,,,,
15/07/2026,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
22/07/2026,[Lin Tian](../authors/lin-tian/),,,,,
29/07/2026,[Huixiang (Freda) Fu](../authors/huixiang-fu/),,,,,
5/08/2026,[Andrew Savchenko](../authors/andrew-savchenko/),,,,,
12/08/2026,,,,,,
19/08/2026,,,,,,
26/08/2026,,,,,,
2/09/2026,,,,,,
9/09/2026,,,,,,
16/09/2026,,,,,,
23/09/2026,,,,,,
30/09/2026,,,,,,
7/10/2026,,,,,,
14/10/2026,,,,,,
21/10/2026,,,,,,
28/10/2026,,,,,,
4/11/2026,,,,,,
11/11/2026,,,,,,
18/11/2026,,,,,,
25/11/2026,,,,,,
2/12/2026,,,,,,
9/12/2026,,,,,,
16/12/2026,,,,,,
23/12/2026,,,,,,
30/12/2026,,,,,,
