Date,Presenter,Paper,Why should we care,Appear in,Repo,Blogs
22/01/25,[Jooyoung Lee](../authors/jooyoung-lee/),[Are Large Language Models Capable of Generating Human-Level Narratives?](https://aclanthology.org/2024.emnlp-main.978.pdf), Analyses AI generated storylines through three discourse-level aspects: i) story arcs; ii) turning points; and iii) affective dimensions  including arousal and valence,[EMNLP'24](https://aclanthology.org/2024.emnlp-main.978/),,
05/02/25,Invited talk from international visitor [Piotr Brodka](https://scholar.google.com/citations?user=T7v65jEAAAAJ&hl=en),,,,,
19/02/25,[Elaine Gong](../authors/xian-gong/),[DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning](https://arxiv.org/pdf/2501.12948),DeepSeek's first-generation reasoning models DeepSeek-R1-Zero and DeepSeek-R1,arxiv,,
05/03/25,[Frankie Yuan](../authors/lanqin-yuan/),,,,,
19/03/25,[Lin Tian](../authors/lin-tian/),,,,,
02/04/25,[Emily Booth](../authors/emily-booth/),,,,,
16/04/25,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
30/04/25,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
14/05/25,[Elaine Gong](../authors/xian-gong/),,,,,
28/05/25,[Frankie Yuan](../authors/lanqin-yuan/),,,,,
11/06/25,[Lin Tian](../authors/lin-tian/),,,,,
25/06/25,[Emily Booth](../authors/emily-booth/),,,,,
09/07/25,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
23/07/25,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
06/08/25,[Elaine Gong](../authors/xian-gong/),,,,,
20/08/25,[Frankie Yuan](../authors/lanqin-yuan/),,,,,
03/09/25,[Lin Tian](../authors/lin-tian/),,,,,
17/09/25,[Emily Booth](../authors/emily-booth/),,,,,
01/10/25,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
15/10/25,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
29/10/25,[Elaine Gong](../authors/xian-gong/),,,,,
12/11/25,[Frankie Yuan](../authors/lanqin-yuan/),,,,,
26/11/25,[Lin Tian](../authors/lin-tian/),,,,,
10/12/25,[Emily Booth](../authors/emily-booth/),,,,,
